Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
AXIA6,OU_MR,Sell,Buy,2025-02-18,2025-02-25,31.55,30.63,6,Time Exit,HL:6.0,-1458.0,-2.92
HBSA3,VWAP_Divergence,Buy,Sell,2025-02-21,2025-02-25,2.27,1.99,3,Take Profit,Div:-9.2%,6167.4,12.33
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-02-24,2025-02-25,122.49,122.83,1,Daily Cash MtM,Beta,695.86,0.2776
JALL3,OU_MR,Buy,Sell,2025-02-17,2025-02-25,4.53,4.22,7,Time Exit,HL:7.0,3421.63,6.84
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-02-25,2025-02-26,122.83,121.82,1,Daily Cash MtM,Beta,-1311.67,-0.8223
ALPA4,Keltner_Squeeze,Buy,Sell,2025-02-18,2025-02-26,5.79,5.46,7,Time Exit,SqueezeBrk_Up,2849.74,5.7
BBSE3,Vol_Climax,Sell,Buy,2025-02-20,2025-02-26,32.96,33.0,5,Time Exit,Vz:4.0,60.68,0.12
LWSA3,OU_MR,Buy,Sell,2025-02-21,2025-02-26,2.79,2.68,4,Time Exit,HL:4.9,1971.33,3.94
MBRF3,OU_MR,Buy,Sell,2025-02-24,2025-02-27,13.83,15.22,4,Stop Loss,HL:13.0,-5025.31,-10.05
RENT3,OU_MR,Buy,Sell,2025-02-25,2025-02-27,26.33,25.95,3,Time Exit,HL:3.1,721.61,1.44
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-02-26,2025-02-27,121.82,121.75,1,Daily Cash MtM,Beta,-93.71,-0.0575
CSMG3,Vol_Climax,Buy,Sell,2025-02-21,2025-02-27,21.23,20.96,5,Time Exit,Vz:4.0,635.89,1.27
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-02-27,2025-02-28,121.75,120.01,1,Daily Cash MtM,Beta,-2277.01,-1.4292
AURE3,OU_MR,Sell,Buy,2025-02-19,2025-02-28,8.61,7.75,8,Stop Loss,HL:14.2,-4994.19,-9.99
MDIA3,OU_MR,Sell,Buy,2025-02-20,2025-02-28,22.49,21.19,7,Time Exit,HL:7.7,-2890.17,-5.78
