Ativo	Entry_Date	Date	tranches_deployed	vwap_entry	exit_price	PNL	return_pct	exit_reason
CASH_SWEEP_BOVA11	2024-02-07	2024-02-08	0	126.17	124.51	-7,977.76	-1.32	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-08	2024-02-09	0	124.51	124.13	-1,725.27	-0.31	Daily Cash MtM
CVCB3	2024-01-03	2024-02-14	2	3.07	3.16	691.47	3.06	Take Profit
TEND3	2024-01-05	2024-02-14	3	10.59	9.68	-3,901.35	-8.57	Take Profit
LWSA3	2024-01-31	2024-02-14	1	4.81	5.04	527.08	4.78	Take Profit
CASH_SWEEP_BOVA11	2024-02-09	2024-02-14	0	124.13	123.23	-4,483.02	-0.73	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-14	2024-02-15	0	123.23	124.06	3,548.63	0.67	Daily Cash MtM
PRIO3	2024-02-05	2024-02-16	1	42.20	44.57	616.58	5.62	Take Profit
CASH_SWEEP_BOVA11	2024-02-15	2024-02-16	0	124.06	124.88	3,511.44	0.66	Daily Cash MtM
BHIA3	2023-12-18	2024-02-19	3	8.93	8.26	-3,357.68	-7.55	Take Profit
VALE3	2024-01-11	2024-02-19	3	57.24	54.22	-2,355.38	-5.27	Take Profit
VAMO3	2024-01-19	2024-02-19	2	7.56	7.51	-154.11	-0.70	Take Profit
CASH_SWEEP_BOVA11	2024-02-16	2024-02-19	0	124.88	125.14	1,332.65	0.21	Daily Cash MtM
EGIE3	2024-01-17	2024-02-20	3	26.67	26.34	-542.56	-1.22	Take Profit
CASH_SWEEP_BOVA11	2024-02-19	2024-02-20	0	125.14	126.19	5,749.06	0.84	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-20	2024-02-21	0	126.19	126.18	-58.21	-0.01	Daily Cash MtM
YDUQ3	2024-01-31	2024-02-21	1	17.12	17.52	257.54	2.34	Take Profit
EZTC3	2024-01-05	2024-02-21	1	10.98	10.48	-519.89	-4.55	Take Profit
CBAV3	2024-01-18	2024-02-21	2	4.17	4.04	-712.96	-3.23	Take Profit
RADL3	2024-01-18	2024-02-22	2	25.57	24.37	-1,029.60	-4.69	Take Profit
INTB3	2024-02-15	2024-02-22	1	16.98	18.06	691.39	6.36	Take Profit
CASH_SWEEP_BOVA11	2024-02-21	2024-02-22	0	126.18	126.30	729.35	0.10	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-22	2024-02-23	0	126.30	125.61	-4,608.35	-0.55	Daily Cash MtM
MRVE3	2024-01-12	2024-02-23	3	8.06	7.73	-1,824.98	-4.07	Take Profit
SIMH3	2024-01-19	2024-02-23	2	15.94	15.19	-1,031.74	-4.70	Take Profit
TOTS3	2024-02-09	2024-02-23	1	28.51	30.84	901.41	8.17	Take Profit
LREN3	2024-02-15	2024-02-26	1	11.98	12.36	344.79	3.17	Take Profit
PSSA3	2024-02-15	2024-02-26	1	22.70	23.46	363.93	3.35	Take Profit
CASH_SWEEP_BOVA11	2024-02-23	2024-02-26	0	125.61	125.77	1,097.17	0.13	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-26	2024-02-27	0	125.77	127.84	14,194.94	1.65	Daily Cash MtM
FLRY3	2024-01-18	2024-02-28	2	14.13	13.69	-692.68	-3.14	Take Profit
BEEF3	2024-02-15	2024-02-28	1	6.19	6.62	755.11	6.95	Take Profit
CASH_SWEEP_BOVA11	2024-02-27	2024-02-28	0	127.84	126.26	-12,451.26	-1.24	Daily Cash MtM
RENT3	2024-01-29	2024-02-28	2	50.28	49.19	-482.17	-2.18	Take Profit
MOVI3	2024-01-16	2024-02-28	3	7.98	7.71	-1,492.82	-3.38	Take Profit
RAPT4	2024-01-19	2024-02-28	1	11.20	10.78	-412.30	-3.75	Take Profit
HAPV3	2024-01-23	2024-02-28	2	53.92	55.95	827.78	3.76	Take Profit
CASH_SWEEP_BOVA11	2024-02-28	2024-02-29	0	126.26	125.25	-7,959.39	-0.80	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-02-29	2024-03-01	0	125.25	125.24	-77.93	-0.01	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-01	2024-03-04	0	125.24	124.50	-5,635.22	-0.59	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-04	2024-03-05	0	124.50	124.40	-734.90	-0.08	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-05	2024-03-06	0	124.40	125.15	5,379.54	0.60	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-06	2024-03-07	0	125.15	124.67	-3,400.87	-0.38	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-07	2024-03-08	0	124.67	123.26	-9,740.76	-1.13	Daily Cash MtM
