Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,lot_size
2024-01-08,CSAN3,35,0.71,1.36,3.16,-2.74,61868.0,CSAN3_Down_0.5_close_Afastado_0_Sell_GAP,18.54,1.0,0.71,0.71,1,True,18.86,18.54,-864.0000000000008,2700
2024-01-08,GGPS3,58,0.71,1.06,4.3,-4.38,62694.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,17.39,0.75,0.71,0.68,1,False,18.29,17.39,-2609.999999999996,2900
2024-01-08,ISAE4,46,0.74,0.94,3.03,-3.11,61739.0,ISAE4_Down_0.5_close_Afastado_0.5_Sell_Pavio,24.13,1.0,0.74,0.74,1,False,23.93,24.13,419.9999999999985,2100
2024-01-08,JALL3,32,0.72,1.82,4.41,-3.43,67719.0,JALL3_Up_0.5_open_Afastado_1_Sell_Pavio,7.54,1.0,0.72,0.72,1,True,7.62,7.54,-528.0,6600
2024-01-08,PCAR3,44,0.77,2.36,6.78,-4.36,83352.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,4.1,0.75,0.77,0.77,1,True,4.09,4.1,121.99999999999635,12200
2024-01-08,POMO3,30,0.87,1.99,5.94,-4.19,72915.0,POMO3_Up_0.5_close_Afastado_1_Buy_Pavio,4.17,1.0,0.87,0.87,1,True,4.18,4.17,119.9999999999964,12000
2024-01-08,RECV3,30,0.8,1.67,5.49,-3.95,64547.0,RECV3_Down_0.5_close_Afastado_0_Sell_GAP,17.12,0.75,0.8,0.8,1,False,17.0,17.12,348.0000000000029,2900
2024-01-08,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.76,0.75,0.71,0.71,1,False,9.25,8.76,-2793.0000000000014,5700
2024-01-08,SOJA3,40,0.72,1.58,5.9,-4.06,64538.0,SOJA3_Up_0.5_close_Afastado_1_Buy_Pavio,15.46,1.0,0.72,0.72,1,False,15.12,15.46,-1088.000000000005,3200
2024-01-08,SYNE3,28,0.71,1.73,5.14,-3.7,66047.0,SYNE3_Up_0.5_open_Afastado_1_Buy_Corpo,1.75,1.0,0.71,0.71,1,True,1.77,1.75,572.0,28600
2024-01-09,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,49.6,0.75,0.71,0.71,1,False,48.45,49.6,1149.9999999999986,1000
2024-01-09,BHIA3,9,0.78,3.9,5.66,-4.03,62605.0,BHIA3_Up_3.5_close_Afastado_0_Sell_Corpo,11.1,0.75,0.78,0.78,1,True,10.95,11.1,675.0000000000014,4500
2024-01-09,GGPS3,58,0.71,1.06,4.3,-4.38,62694.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,17.77,0.75,0.71,0.68,1,False,18.27,17.77,-1400.0,2800
2024-01-09,ISAE4,46,0.74,0.94,3.03,-3.11,61739.0,ISAE4_Down_0.5_close_Afastado_0.5_Sell_Pavio,24.05,1.0,0.74,0.74,1,True,24.54,24.05,-1028.9999999999966,2100
2024-01-09,PCAR3,45,0.76,2.11,6.78,-4.36,78645.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Movimento,4.03,0.75,0.76,0.76,1,True,3.92,4.03,1364.0000000000039,12400
2024-01-09,PETZ3,18,0.72,2.17,5.43,-4.36,62333.0,PETZ3_Down_0.5_close_Afastado_0.5_Sell_GAP,3.65,0.75,0.72,0.72,1,True,3.62,3.65,410.99999999999727,13700
2024-01-09,POMO3,41,0.73,1.65,5.94,-3.44,68103.0,POMO3_Down_0.5_close_Afastado_1_Buy_Pavio,4.22,0.75,0.73,0.73,1,False,4.12,4.22,-1179.9999999999952,11800
2024-01-09,RECV3,30,0.8,1.67,5.49,-3.95,64547.0,RECV3_Down_0.5_close_Afastado_0_Sell_GAP,17.0,0.75,0.8,0.8,1,True,16.78,17.0,637.9999999999966,2900
2024-01-09,SBFG3,16,0.81,2.36,4.34,-3.91,64457.0,SBFG3_Down_0.5_open_Afastado_0_Sell_GAP,9.85,0.75,0.81,0.81,1,False,10.98,9.85,-5763.000000000004,5100
2024-01-09,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.81,0.75,0.71,0.71,1,False,9.04,8.81,-1310.999999999992,5700
