Date,Ativo,Rastreador,Entry_Open,Exit_Close,PNL,Entry_Date,Costs_R$,Rel_Volume_Entry
2024-12-30,CASH_SWEEP,LONG,117.26,117.27,85.73,2024-12-27,0.0,0.0
2025-01-02,CASH_SWEEP,LONG,117.27,117.1,-1458.24,2024-12-30,0.0,0.0
2025-01-03,CASH_SWEEP,LONG,117.1,115.45,-14153.69,2025-01-02,0.0,0.0
2025-01-06,BBSE3,LONG,30.03,29.91,-688.67,2024-12-13,275.5,3.64
2025-01-06,CASH_SWEEP,LONG,115.45,117.07,15822.48,2025-01-03,0.0,0.0
2025-01-07,CASH_SWEEP,LONG,117.07,118.15,10548.32,2025-01-06,0.0,0.0
2025-01-08,CASH_SWEEP,LONG,118.15,116.67,-14455.11,2025-01-07,0.0,0.0
2025-01-09,CASH_SWEEP,LONG,116.67,116.82,1465.06,2025-01-08,0.0,0.0
2025-01-10,CASH_SWEEP,LONG,116.82,115.96,-8399.58,2025-01-09,0.0,0.0
2025-01-13,CASH_SWEEP,LONG,115.96,116.02,585.99,2025-01-10,0.0,0.0
2025-01-14,CASH_SWEEP,LONG,116.02,116.46,4297.48,2025-01-13,0.0,0.0
2025-01-15,CASH_SWEEP,LONG,116.46,119.57,30375.21,2025-01-14,0.0,0.0
2025-01-16,CASH_SWEEP,LONG,119.57,118.33,-12110.99,2025-01-15,0.0,0.0
2025-01-17,CASH_SWEEP,LONG,118.33,119.25,8985.57,2025-01-16,0.0,0.0
2025-01-20,CASH_SWEEP,LONG,119.25,119.81,5469.47,2025-01-17,0.0,0.0
2025-01-21,CASH_SWEEP,LONG,119.81,120.3,4785.86,2025-01-20,0.0,0.0
2025-01-22,CASH_SWEEP,LONG,120.3,119.92,-3711.49,2025-01-21,0.0,0.0
2025-01-23,CASH_SWEEP,LONG,119.92,119.49,-4199.79,2025-01-22,0.0,0.0
2025-01-24,CASH_SWEEP,LONG,119.49,119.45,-390.69,2025-01-23,0.0,0.0
2025-01-27,CASH_SWEEP,LONG,119.45,121.87,20964.65,2025-01-24,0.0,0.0
2025-01-28,CASH_SWEEP,LONG,121.87,121.03,-6368.51,2025-01-27,0.0,0.0
2025-01-29,CASH_SWEEP,LONG,121.03,120.17,-6520.11,2025-01-28,0.0,0.0
2025-01-30,CASH_SWEEP,LONG,120.17,123.95,28658.14,2025-01-29,0.0,0.0
2025-01-31,CASH_SWEEP,LONG,123.95,123.0,-5170.28,2025-01-30,0.0,0.0
2025-02-03,CASH_SWEEP,LONG,123.0,122.64,-1959.27,2025-01-31,0.0,0.0
2025-02-04,CASH_SWEEP,LONG,122.64,121.91,-3972.94,2025-02-03,0.0,0.0
2025-02-05,CASH_SWEEP,LONG,121.91,122.37,1479.33,2025-02-04,0.0,0.0
2025-02-06,CASH_SWEEP,LONG,122.37,123.16,1670.05,2025-02-05,0.0,0.0
2025-02-07,CASH_SWEEP,LONG,123.16,121.48,-3551.5,2025-02-06,0.0,0.0
2025-02-10,CASH_SWEEP,LONG,121.48,122.55,1062.07,2025-02-07,0.0,0.0
2025-02-11,CASH_SWEEP,LONG,122.55,123.45,893.32,2025-02-10,0.0,0.0
2025-02-12,CASH_SWEEP,LONG,123.45,121.25,-2183.69,2025-02-11,0.0,0.0
2025-02-13,BOVA11,LONG,123.96,121.15,-3131.63,2025-01-31,262.01,3.14
2025-02-13,BBDC4,LONG,10.8,10.58,-2905.56,2025-02-10,269.55,3.14
2025-02-13,CASH_SWEEP,LONG,121.25,121.68,1357.72,2025-02-12,0.0,0.0
2025-02-14,CASH_SWEEP,LONG,121.68,124.87,10072.36,2025-02-13,0.0,0.0
2025-02-17,CASH_SWEEP,LONG,124.87,125.25,1199.83,2025-02-14,0.0,0.0
2025-02-18,CASH_SWEEP,LONG,125.25,125.3,157.88,2025-02-17,0.0,0.0
2025-02-19,CASH_SWEEP,LONG,125.3,124.01,-2605.55,2025-02-18,0.0,0.0
2025-02-20,CASH_SWEEP,LONG,124.01,124.47,-125.48,2025-02-19,0.0,0.0
2025-02-21,CSMG3,LONG,20.94,21.24,1890.48,2025-02-20,286.2,3.66
